id,price,moonRank,rank,💎 score,background,skin,hair,mouth,eyes,eyebrows,clothes,headAccessory,faceAccessory,glasses,rarityURL,meURL
1018,4,5419,5533,5810.5,Yellow,White,Ponytail Black,Black Fangs,Blue,Small,Tshirt,Helix Hat,,,https://gloom-rarity-page.vercel.app/punk/1018,https://magiceden.io/item-details/9Ld7xCRsGQzEbm6pfMoSA8xBBMRzzXP4C7FBFCXx1fs8
1024,0.55,9537,9581,9583.5,Beige,Black,Ponytail Brown,Pink,Blue,Small,Tank Top,,,,https://gloom-rarity-page.vercel.app/punk/1024,https://magiceden.io/item-details/8fe4xerrXtPUYw98XN47ZiaT41FN1absx4h8y5RLsLjY
1048,1,3336,4790,3427.5,Beige,Cyborg,Bob Black,Pink,Blue,Thin,Hoodie,,,Monocle Regular,https://gloom-rarity-page.vercel.app/punk/1048,https://magiceden.io/item-details/7cjsP2nqTqKpanpbeX1iELpdPgpUg8AScnwV1rS8Jd79
1058,2,9405,9086,9596.5,Grey,White,Ponytail White,Pink,Blue,Arched,Tank Top,,,,https://gloom-rarity-page.vercel.app/punk/1058,https://magiceden.io/item-details/CG41pATKKi641rQNxTef5ri5n4WxiwNgfdJNLTMvRig5
1059,2,4271,2717,4462.5,Yellow,White,Ponytail Brown,Pink Fangs,Blue,Thin,Tshirt,Scribbles,,,https://gloom-rarity-page.vercel.app/punk/1059,https://magiceden.io/item-details/JBsMxRxidENAA5KKxFaG8uoYiUWHsppGsEPgTMJw3svk
1072,2,1082,1757,1273.5,Grey,Cyborg,Bob Black,Pink,Blue,Scar,Tank Top,Top Hat,Gasmask Teal,,https://gloom-rarity-page.vercel.app/punk/1072,https://magiceden.io/item-details/D9qQyafwB7YhYV8of542ZNkoPv7JtrBuGjFPeZTweQv2
1102,3,2560,5474,2851.5,Beige,White,Bob Brown,Gold,Purple,Thin,Turtleneck,Top Hat,,Monocle Regular,https://gloom-rarity-page.vercel.app/punk/1102,https://magiceden.io/item-details/A95zwAyAP82Tkvr5Be6DXc3od2CT2oWECv2pTj5Akvbw
1154,0.2,6690,4810,6701.5,Beige,White,Bob Black,Pink,Purple,Arched,Tank Top,Butterflies,,,https://gloom-rarity-page.vercel.app/punk/1154,https://magiceden.io/item-details/GhicDaDmB57Upr4FJad9W3hbhUfa3Leq3QTGPj89eiAy
1176,0.22,9623,9633,9636.5,Grey,White,Ponytail Brown,Black,Teal,Thin,Tshirt,,,,https://gloom-rarity-page.vercel.app/punk/1176,https://magiceden.io/item-details/2EsdwuVX1Rbtc5argWQQjjhPvJAPyqDBLAF8SvqVGfK7
1205,1,9671,9672,9762.5,Green,White,Ponytail Black,Pink,Blue,Thin,Tshirt,,,,https://gloom-rarity-page.vercel.app/punk/1205,https://magiceden.io/item-details/3FLPMJguHGJmzNh6AKrhgMTCdK9rm9KuJfSKCDz69qpd
1225,2,7251,7697,7442.5,Green,White,Ponytail White,Black,Teal,Small,Tank Top,Helix Hat,,,https://gloom-rarity-page.vercel.app/punk/1225,https://magiceden.io/item-details/7JqMdZ3SJGgXyZjNyX5A4QZpLRGhAsPWcTzVLgMX2VCX
1232,0.15,6734,5484,6740.5,Beige,Black,Bob Teal,Pink,Blue,Small,Tshirt,Top Hat,,,https://gloom-rarity-page.vercel.app/punk/1232,https://magiceden.io/item-details/27hPV4D8PQANWeg2wvPd5uEEqRrpw8VQgFnsUEq81Ukh
1236,1.35,6218,5249,6344.5,Teal Flat,White,Bob Black,Black,Purple,Small,Tshirt,Top Hat,,,https://gloom-rarity-page.vercel.app/punk/1236,https://magiceden.io/item-details/9HxHQiaovQA3Mey3BZ1GgxJmGPbWep7JTNzcmTdXfaAy
