id,price,moonRank,rank,background,skin,hair,mouth,eyes,eyebrows,clothes,headAccessory,faceAccessory,glasses,rarityURL,solanartURL
9038,0.4,1248,670,Grey,White,Ponytail Brown,Pink,Teal,Arched,Bandages,Clouds,Gasmask Teal,,https://gloom-rarity-page.vercel.app/punk/9038,https://solanart.io/search/?token=D3RjaKzdu8ifTL9sqCtZreZnDdxPZU1xrKMGFe3kcr9m
9059,0.39,1957,1110,Blue,White,Bald,Pink,Teal,Thin,Tank Top,Top Hat,Gasmask Gunmetal,,https://gloom-rarity-page.vercel.app/punk/9059,https://solanart.io/search/?token=ASrszwWj53bD16Me7KEhRju5hY48ncLQYsTLCnzXvMSM
8598,0.5,1610,2000,Grey,White,Ponytail Black,Gold,Teal,Small,Tshirt,,Gasmask Gunmetal,Monocle Regular,https://gloom-rarity-page.vercel.app/punk/8598,https://solanart.io/search/?token=4U2iMqmxH5ytqH4AWQkWTBcfuoFtzvuYjHQdsq3yd6tA
5940,0.7,154,698,Yellow Flat,White,Bob Brown,Pink Fangs,Purple,Small,Hoodie,,Bandaids,Monocle Solana,https://gloom-rarity-page.vercel.app/punk/5940,https://solanart.io/search/?token=DhxazpbjuQac7phqKEACvCtAbUyweTh5CcjaFEWh7KrJ
9307,0.77,477,391,Solana2,White,Bob Black,Pink,Purple,Worry,Tank Top,Scribbles,Gasmask Pink,,https://gloom-rarity-page.vercel.app/punk/9307,https://solanart.io/search/?token=4GaoggK2GSmNYxPnCJGm5KVWAMkzKtTBqcH51rC6NWZH
9314,1,671,741,Yellow,White,Ponytail Teal,Pink Fangs,Blue,Thin,Tshirt,Helix Hat,Gasmask Teal,,https://gloom-rarity-page.vercel.app/punk/9314,https://solanart.io/search/?token=3iYvRuqptLpZ4URkB5Ci7m4zzRmPH7sx8csH5qPpnqFX
8080,1.231,327,166,Yellow,White,Bald,Black,Purple,Small,Turtleneck,Bird,Facemask,,https://gloom-rarity-page.vercel.app/punk/8080,https://solanart.io/search/?token=2uazPYr4JKYLfzeo3sJKTQs8v3VkRmpBDFLrx49rst2f
5968,1.11,526,195,Teal,White,Ponytail Pink,Gold Fangs,Blue,Scar,Tshirt,,,Monocle Regular,https://gloom-rarity-page.vercel.app/punk/5968,https://solanart.io/search/?token=5FJNLMrUfLcFqtfyYH1QTTtDduCoztzQNjVBabTq6HEH
5689,1.5,827,405,Yellow Flat,Black,Ponytail Pink,Pink,Teal,Small,Bandages,,Piercing,,https://gloom-rarity-page.vercel.app/punk/5689,https://solanart.io/search/?token=6ScKvAVPQrYhNfHMF72YNdsCzMSySzH35ShdkeE6ncR3
8685,2,270,137,Purple,White,Ponytail Brown,Pink,White,Arched,Turtleneck,Halo,,Glasses Solana,https://gloom-rarity-page.vercel.app/punk/8685,https://solanart.io/search/?token=v5sZLz9YkJFeUK5FmTo6CJxWReNzrgyQfUgjkPvYxN1
6499,1.99,297,317,Pastel,Black,Ponytail White,Pink,Blue,Small,Tank Top,,Gasmask Gunmetal,Glasses Regular,https://gloom-rarity-page.vercel.app/punk/6499,https://solanart.io/search/?token=4fGGfnr4AordmwivCQWt3pL1PrmFTCfpnyX2LKT9i7sZ
7818,1.8,186,817,Solana2,White,Bob Brown,Black Fangs,Blue,Arched,Turtleneck,Helix Hat,Gasmask Gunmetal,Monocle Regular,https://gloom-rarity-page.vercel.app/punk/7818,https://solanart.io/search/?token=6yeCocBUfX21qzjhaeR9v5gDqq1FPA3k3XdegatGqkwc
